Réunion,-21.115141,55.536384,10,100
Romania,45.943161,24.96676,19815.31,1779544.899
Russia,61.52401,105.318756,143000,13312077.46
Rwanda,-1.940278,29.873888,11609.67,80959.80014
Saint Helena,-24.143474,-10.030696,10,100
Saint Kitts and Nevis,17.357822,-62.782998,10,100
Saint Lucia,13.909444,-60.978893,10,100
Saint Pierre and Miquelon,46.941936,-56.27111,10,100
Saint Vincent and the Grenadines,12.984305,-61.287228,10,100
Samoa,-13.759029,-172.104629,193.23,7610.379164
San Marino,43.94236,12.457777,31.78,18998.79955
São Tomé and Príncipe,0.18636,6.613081,10,100
Saudi Arabia,23.885942,45.079162,31540.37,6460018.667
Senegal,14.497401,-14.452362,15129.27,136099.8958
Serbia,44.016521,21.005859,7000,371603.3247
Seychelles,-4.679574,55.491977,93.42,14377.22206
Sierra Leone,8.460555,-11.779889,6453.18,42147.79785
Singapore,1.352083,103.819836,5535,2927393.075
Slovakia,48.669026,19.699024,5000,2837032.17
Slovenia,46.151241,14.995463,2063.53,427747.6977
Solomon Islands,-9.64571,160.156194,583.59,11291.64719
Somalia,5.152149,46.199616,10787.1,59250
South Africa,-30.559482,22.937506,55011.98,3145719.459
South Georgia and the South Sandwich Islands,-54.429579,-36.587909,10,100
South Korea,35.907757,127.766922,50000,13778731.08
Spain,40.463667,-3.74922,46443.99,11929011.87
Sri Lanka,7.873054,80.771797,20966,823161.7238
Sudan,12.862807,30.217636,40234.88,971561.1915
Suriname,3.919305,-56.027783,542.98,51502.91217
Svalbard and Jan Mayen,77.553604,23.670272,10,100
Swaziland,-26.522503,31.465866,1286.97,41184.88059
Sweden,60.128161,18.643501,9799.19,4956943.566
Switzerland,46.818188,8.227512,8281.43,6707899.288
Syria,34.802075,38.996815,22000,284159.5098
Taiwan,23.69781,120.960515,23000,284159.5098
Tajikistan,38.861034,71.276093,8481.85,78534.50374
Tanzania,-6.369028,34.888822,53470.42,456282.4729
Thailand,15.870032,100.992541,67959.36,3951680.259
Timor-Leste,-8.874217,125.727539,1184.77,14417.186
Togo,8.619543,0.824782,7304.58,40879.03913
Tokelau,-8.967363,-171.855881,10,100
Tonga,-21.178986,-175.198242,106.17,4351.42409
Trinidad and Tobago,10.691803,-61.222503,1360.09,235592.8748
Tunisia,33.886917,9.537499,11253.55,430150.8972
Turkey,38.963745,35.243322,78665.83,7178797.886
Turkmenistan,38.969719,59.556278,5373.5,358545.7143
Turks and Caicos Islands,21.694025,-71.797928,34.34,0
Tuvalu,-7.109535,177.64933,9.92,326.7327774
U.S. Minor Outlying Islands,0,0,10,100
U.S. Virgin Islands,18.335765,-64.896335,10,100
Uganda,1.373333,32.290275,39032.38,275292.497
Ukraine,48.379433,31.16558,45154.03,906150.2332
United Arab Emirates,23.424076,53.847818,9156.96,3702962.56
United Kingdom,55.378051,-3.435973,65128.86,28610907.27
United States,37.09024,-95.712891,321418.82,180366480
Uruguay,-32.522779,-55.765835,3431.55,534426.9757
Uzbekistan,41.377491,64.585262,31298.9,667327.365
Vanuatu,-15.376706,166.959158,264.65,7424.32131
Vatican City,41.902916,12.453389,10,100
Venezuela,6.42375,-66.58973,30000,2407963.884
Vietnam,14.058324,108.277199,91713.3,1935993.791
Wallis and Futuna,-13.768752,-177.156097,10,100
Western Sahara,24.215527,-12.885834,10,100
Yemen,15.552727,48.516388,10,100
Zambia,-13.133897,27.849332,16211.77,211543.9455
Zimbabwe,-19.015438,29.154857,15602.75,144191.859
